CEP;CHAVE;UF;TIPO;TITULO;PREPOSICAO;NOME;BAIRRO1;BAIRRO2;LIMINFPAR;LIMINFIMPA;LIMSUPPAR;LIMSUPIMPA;FLAGS;LADOS
1405000;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;0;0;600;599;0;34
1405001;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;602;601;1250;1249;0;34
1405002;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;1252;1251;99999999;99999999;0;34
1405005;01000;SP;JARDIM;;;MIGUEL BADRA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1405010;01000;SP;PARQUE;;;NASSIB JACOB;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1405020;01000;SP;JARDIM;;;MARIA BADRA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1405030;01000;SP;VILA;;;PAMPLONA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1405040;01000;SP;VILA;SANTO;;ARSENIO;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1405900;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;145;145;145;145;6;34
1405901;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;191;191;191;191;6;34
1405902;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;227;227;227;227;6;34
1405903;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;237;237;237;237;6;34
1405904;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;400;400;400;400;6;34
1405905;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;818;818;818;818;6;34
1405906;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;1200;1200;1200;1200;6;34
1405907;01000;SP;R;;;PAMPLONA;JARDIM PAULISTA;;1704;1704;1704;1704;6;34
1406000;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;2302;0;3698;0;0;2
1406100;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;3700;0;4698;0;0;2
1406200;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;4700;0;99999999;0;0;2
1406900;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;3166;3166;3166;3166;6;34
1406901;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;4706;4706;4706;4706;6;34
1406902;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5966;5966;5966;5966;6;34
1407000;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;0;2301;0;3699;0;32
1407100;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;0;3701;0;4699;0;32
1407200;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;0;4701;0;99999999;0;32
1407900;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;3939;3939;3939;3939;6;34
1407901;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;4413;4413;4413;4413;6;34
1407902;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;4865;4865;4865;4865;6;34
1407903;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5017;5017;5017;5017;6;34
1407904;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5049;5049;5049;5049;6;34
1407905;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5109;5109;5109;5109;6;34
1407906;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5143;5143;5143;5143;6;34
1407907;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5229;5229;5229;5229;6;34
1407908;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5345;5345;5345;5345;6;34
1407909;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5435;5435;5435;5435;6;34
1407910;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5483;5483;5483;5483;6;34
1407911;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5569;5569;5569;5569;6;34
1407912;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5617;5617;5617;5617;6;34
1407913;01000;SP;AV;;;9 DE JULHO;JARDIM PAULISTA;;5593;5593;5593;5593;6;34
1408000;01000;SP;AL;;;CASA BRANCA;JARDIM PAULISTA;;0;0;99999999;0;0;15
1408001;01000;SP;AL;;;CASA BRANCA;JARDIM PAULISTA;;0;0;0;99999999;0;240
1408010;01000;SP;R;;;CACAPAVA;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1408020;01000;SP;R;;;CRAVINHOS;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1408030;01000;SP;R;PRES;;PRUDENTE;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1408040;01000;SP;R;;;PARAGUAI;JARDIM PAULISTA;;0;0;99999999;99999999;0;17
1408900;01000;SP;AL;;;CASA BRANCA;JARDIM PAULISTA;;327;327;327;327;6;34
1409000;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;0;0;1248;0;0;2
1409001;01000;SP;R;;;PEIXOTO GOMIDE;JARDIM PAULISTA;;0;0;0;1249;0;32
